Roupa;Corpo;Clima;Parque;Restaurante;Praia;Mercado;Piscina;Esportes;Escola;Festa
camisa16.png;1;1;1;1;0;1;0;0;0;0
camisa17.png;1;1;1;1;0;1;0;0;0;1
camisa18.png;1;1;1;1;0;1;0;0;0;1
camisa20.png;1;2;0;1;0;1;0;0;0;1
camisa21.png;1;1;0;1;0;0;0;0;0;1
camisa22.png;1;2;0;0;0;0;0;0;0;1
camisa23.png;1;1;1;1;0;1;0;0;0;1
camisa24.png;1;2;1;1;0;1;0;0;0;1
camisa25.png;1;2;0;0;0;0;0;1;0;0
camisa26.png;1;3;0;0;0;0;0;0;0;1
camisa27.png;1;2;1;1;0;1;0;0;0;1
camisa28.png;1;1;1;1;0;1;0;0;0;1
casaco1.png;1;2;0;0;0;0;0;0;0;1
casaco2.png;1;2;0;0;0;0;0;0;0;1
casaco3.png;1;2;0;0;0;0;0;0;1;0
casaco4.png;1;2;1;1;0;1;0;0;0;1
casaco5.png;1;2;0;0;0;0;0;0;0;1
casaco6.png;1;2;0;0;0;0;0;1;0;0
casaco7.png;1;2;1;1;0;0;0;0;0;1
casaco8.png;1;2;1;1;0;1;0;0;0;1
casaco9.png;1;2;0;0;0;0;0;0;0;1
casaco10.png;1;2;0;0;0;0;0;1;0;0
casaco11.png;1;2;1;1;0;1;0;0;0;1
casaco12.png;1;2;1;1;0;1;0;0;0;1
casaco13.png;1;2;0;0;0;0;1;0;0;0
casaco14.png;1;2;1;1;0;1;0;0;0;1
casaco15.png;1;2;1;1;0;1;0;0;0;1
casaco16.png;1;2;1;1;0;1;0;0;0;1
casaco17.png;1;2;0;0;0;0;1;0;0;0
casaco18.png;1;2;1;1;0;1;0;0;0;1
casaco19.png;1;2;1;1;0;1;0;0;0;1
casaco20.png;1;2;1;1;0;1;0;0;0;1
casaco21.png;1;2;0;0;0;0;1;0;0;0
casaco22.png;1;2;1;1;0;1;0;0;0;1
casaco23.png;1;2;0;0;0;0;1;0;0;0
casaco24.png;1;2;1;1;0;1;0;0;0;1
casaco25.png;1;2;1;1;0;1;0;0;0;1
casaco26.png;1;2;0;0;0;0;0;0;0;1
casaco27.png;1;2;0;0;0;0;0;0;0;1
chinelo1.png;3;1;0;0;0;0;0;0;0;1
chinelo2.png;3;1;1;0;0;0;0;0;0;1
chinelo3.png;3;1;1;0;0;0;0;0;0;0
chinelo4.png;3;1;1;0;1;0;1;0;0;0
chinelo5.png;3;1;1;0;1;0;1;0;0;0
chinelo6.png;3;1;1;0;1;0;1;0;0;0
chinelo7.png;3;1;1;0;0;0;0;0;0;1
chinelo8.png;3;1;1;0;1;0;1;0;0;0
chinelo9.png;3;1;1;0;1;0;1;0;0;0
chinelo10.png;3;1;1;0;0;0;0;0;0;0
chinelo11.png;3;1;1;0;0;0;0;0;0;1
chinelo12.png;3;1;1;0;0;0;0;0;0;1
chinelo13.png;3;1;1;0;1;0;1;0;0;0
chinelo14.png;3;1;1;0;0;0;0;0;0;0
chinelo15.png;3;1;1;0;0;0;0;0;0;1
chinelo16.png;3;1;1;0;1;0;1;0;0;0
chinelo17.png;3;1;1;0;1;0;1;0;0;0
chinelo18.png;3;1;1;0;1;0;1;0;0;0
chinelo19.png;3;1;1;0;0;0;0;0;0;1
cueca1.png;4;3;1;1;0;1;0;1;1;1
cueca2.png;4;3;1;1;0;1;0;1;1;1
cueca3.png;4;3;1;1;0;1;0;1;1;1
cueca4.png;4;3;1;1;0;1;0;1;1;1
cueca5.png;4;3;1;1;0;1;0;1;1;1
cueca6.png;4;3;1;1;0;1;0;1;1;1
cueca7.png;4;3;1;1;0;1;0;1;1;1
cueca8.png;4;3;1;1;0;1;0;1;1;1
cueca9.png;4;3;1;1;0;1;0;1;1;1
cueca10.png;4;3;1;1;0;1;0;1;1;1
cueca11.png;4;3;1;1;0;1;0;1;1;1
cueca12.png;4;3;1;1;0;1;0;1;1;1
meias1.png;3;3;1;1;0;1;0;1;1;1
meias2.png;3;3;1;1;0;1;0;1;1;1
meias3.png;3;3;1;1;0;1;0;1;1;1
meias4.png;3;3;1;1;0;1;0;1;1;1
meias5.png;3;3;1;1;0;1;0;1;1;1
meias6.png;3;3;1;1;0;1;0;1;1;1
meias7.png;3;3;1;1;0;1;0;1;1;1
meias8.png;3;3;1;1;0;1;0;1;1;1
meias9.png;3;3;1;1;0;1;0;1;1;1
meias10.png;3;3;1;1;0;1;0;1;1;1
meias11.png;3;3;1;1;0;1;0;1;1;1
meias12.png;3;3;1;1;0;1;0;1;1;1
meias13.png;3;3;1;1;0;1;0;1;1;1
meias14.png;3;3;1;1;0;1;0;1;1;1
meias15.png;3;3;1;1;0;1;0;1;1;1
saia1.png;2;1;1;1;0;1;0;0;0;1
saia2.png;2;1;1;1;0;1;0;0;0;1
saia3.png;2;1;1;1;0;1;0;0;0;1
saia4.png;2;1;1;1;0;1;0;0;0;1
saia5.png;2;1;1;1;0;1;0;0;0;1
saia6.png;2;1;1;1;0;1;0;0;0;1
saia7.png;2;1;1;1;0;1;0;0;0;1
saia8.png;2;1;1;1;0;1;0;0;0;1
saia9.png;2;1;1;1;0;1;0;0;0;1
saia10.png;2;1;0;0;0;0;0;1;0;0
saia11.png;2;1;1;1;0;1;0;0;0;1
saia12.png;2;1;1;1;0;1;0;0;0;1
saia13.png;2;1;1;1;0;1;0;0;0;1
saia14.png;2;1;1;1;0;1;0;0;0;1
sunga1.png;4;1;0;0;1;0;1;0;0;0
sunga2.png;4;1;0;0;1;0;1;0;0;0
sunga3.png;4;1;0;0;1;0;1;0;0;0
sunga4.png;4;1;0;0;1;0;1;0;0;0
sunga5.png;4;1;0;0;1;0;1;0;0;0
sunga6.png;4;1;0;0;1;0;1;0;0;0
sunga7.png;4;1;0;0;1;0;1;0;0;0
sunga8.png;4;1;0;0;1;0;1;0;0;0
sunga9.png;4;1;0;0;1;0;1;0;0;0
sunga10.png;4;1;0;0;1;0;1;0;0;0
sunga11.png;4;1;0;0;1;0;1;0;0;0
sunga12.png;4;1;0;0;1;0;1;0;0;0
sunga13.png;4;1;0;0;1;0;1;0;0;0
sunga14.png;4;1;0;0;1;0;1;0;0;0
sunga15.png;4;1;0;0;1;0;1;0;0;0
crocs1.png;3;3;1;1;0;1;0;0;0;1
crocs2.png;3;3;1;1;0;1;0;0;0;1
crocs3.png;3;3;1;1;0;1;0;0;0;1
crocs4.png;3;3;1;1;0;1;0;0;0;1
tenis1.png;3;3;1;1;0;1;0;0;1;0
tenis2.png;3;3;0;0;0;0;0;0;0;1
tenis3.png;3;3;0;0;0;0;0;0;0;1
tenis4.png;3;3;1;1;0;1;0;0;1;1
tenis5.png;3;3;1;1;0;1;0;1;1;0
tenis6.png;3;3;1;1;0;1;0;0;1;1
tenis7.png;3;3;0;0;0;0;0;1;1;0
tenis8.png;3;3;0;1;0;0;0;0;0;1
tenis9.png;3;3;0;0;0;0;0;1;1;0
tenis10.png;3;3;0;1;0;0;0;0;0;1
tenis11.png;3;3;1;1;0;1;0;1;1;0
tenis12.png;3;3;1;1;0;1;0;0;1;1
tenis13.png;3;3;1;1;0;1;0;0;1;1
tenis14.png;3;3;1;0;0;0;0;0;0;0
tenis15.png;3;3;1;1;0;1;0;0;1;1
tenis16.png;3;3;1;1;0;1;0;1;1;0
tenis17.png;3;3;0;0;0;0;0;1;1;0
tenis18.png;3;3;0;1;0;0;0;0;0;1
tenis19.png;3;3;1;1;0;1;0;0;1;1
tenis20.png;3;3;1;0;0;0;0;0;0;0
tenis21.png;3;3;1;1;0;1;0;1;1;0
tenis22.png;3;3;1;1;0;1;0;0;1;1
tenis23.png;3;3;1;0;0;0;0;0;1;0
tenis24.png;3;3;1;1;0;1;0;0;1;1
tenis25.png;3;3;1;1;0;1;0;0;1;1
tenis26.png;3;3;1;0;0;0;0;0;1;0
tenis27.png;3;3;1;1;0;1;0;0;1;1
tenis28.png;3;3;0;1;0;0;0;0;0;1
tenis29.png;3;3;1;1;0;1;0;1;1;0
tenis30.png;3;3;0;1;0;0;0;0;0;1
tenis31.png;3;3;1;1;0;1;0;1;1;0
tenis32.png;3;3;1;1;0;1;0;1;1;0
tenis33.png;3;3;1;1;0;1;0;0;1;1
tenis34.png;3;3;1;1;0;1;0;0;1;1
vestido1.png;1;1;1;1;0;0;0;0;0;1
vestido2.png;1;1;0;0;0;0;0;0;0;1
vestido3.png;1;1;1;1;0;0;0;0;0;1
vestido4.png;1;1;0;0;0;0;0;0;0;1
vestido5.png;1;1;1;1;0;0;0;0;0;1
